GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rafal-ims,com.qa.imssobol.utils,Connector,15,52,0,2,4,20,3,6,3,5
rafal-ims,com.qa.imssobol.utils,Utils,74,37,9,3,27,10,9,4,4,3
rafal-ims,com.qa.imssobol.utils,Loginner,2,20,1,1,1,6,2,3,1,3
rafal-ims,com.qa.imssobol.controller,Action,12,115,0,2,6,15,1,5,1,4
rafal-ims,com.qa.imssobol.controller,CustomerController,5,117,0,2,2,32,2,8,2,7
rafal-ims,com.qa.imssobol.controller,OrderController,17,197,2,10,3,52,4,12,2,8
rafal-ims,com.qa.imssobol.controller,ItemController,8,147,0,2,3,42,3,8,3,7
rafal-ims,com.qa.imssobol.services,OrderServices,0,41,0,0,0,10,0,7,0,7
rafal-ims,com.qa.imssobol.services,CustomerServices,0,34,0,0,0,8,0,6,0,6
rafal-ims,com.qa.imssobol.services,ItemServices,0,34,0,0,0,8,0,6,0,6
rafal-ims,com.qa.imssobol.persistence.domain,Order,4,266,3,27,0,66,3,27,0,15
rafal-ims,com.qa.imssobol.persistence.domain,Item,0,171,0,24,0,50,0,24,0,12
rafal-ims,com.qa.imssobol.persistence.domain,Customer,3,121,1,15,0,39,1,17,0,10
rafal-ims,com.qa.imssobol.persistence.domain,Domain,12,93,0,2,6,13,1,5,1,4
rafal-ims,com.qa.imssobol,Ims,17,142,5,13,8,41,8,12,3,4
rafal-ims,com.qa.imssobol,Runner,20,0,0,0,6,0,3,0,3,0
rafal-ims,com.qa.imssobol.persistence.dao,MysqlItemDao,0,278,0,10,0,81,0,13,0,8
rafal-ims,com.qa.imssobol.persistence.dao,MysqlCustomerDao,0,269,0,10,0,78,0,13,0,8
rafal-ims,com.qa.imssobol.persistence.dao,MysqlOrderDao,4,416,0,14,2,109,0,16,0,9
